IP,Access Time,HTTP Requests,Browser
10.82.62.54,19/Nov/2021:12:46:05 +0100,/~sgurubacha/DBWS/impct.css,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:12:46:05 +0100,/~sgurubacha/DBWS/impct.css,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.62.54,19/Nov/2021:12:46:06 +0100,/favicon.ico,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0
10.82.57.156,19/Nov/2021:16:25:47 +0100,/~sgurubacha/DBWS/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:25:47 +0100,/~sgurubacha/DBWS/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:25:47 +0100,/~sgurubacha/DBWS/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:01 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:01 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:02 +0100,/~sgurubacha/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:02 +0100,/~sgurubacha/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:08 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:08 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:16 +0100,/~sgurubacha/DBWS/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:21 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:21 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:21 +0100,/~sgurubacha/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:21 +0100,/~sgurubacha/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:31 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:31 +0100,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:31 +0100,/~sgurubacha/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.57.156,19/Nov/2021:16:26:31 +0100,/~sgurubacha/impct.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
